DongID,DongName,GuID,CenterLat,CenterLng,Description,StageCount,UnlockCondition
DONG_SOGONG,소공동,GU_JUNGGU,37.5651,126.9778,명동과 인접한 상업 지구,3,NONE
DONG_MYEONGDONG,명동,GU_JUNGGU,37.5635,126.9843,서울 최대 쇼핑·관광 명소,5,COMPLETE_DONG_SOGONG
DONG_EULJIRO,을지로,GU_JUNGGU,37.5664,126.9910,전통 제조업과 힙한 문화의 공존,4,COMPLETE_DONG_MYEONGDONG
DONG_INSA,인사동,GU_JONGNO,37.5741,126.9854,전통 문화와 공예의 거리,4,COMPLETE_GU_JUNGGU
DONG_SAMCHEONG,삼청동,GU_JONGNO,37.5859,126.9822,고즈넉한 한옥과 카페의 거리,4,COMPLETE_DONG_INSA
DONG_PYEONGCHANG,평창동,GU_JONGNO,37.6074,126.9758,예술과 자연이 어우러진 곳,3,COMPLETE_DONG_SAMCHEONG
DONG_SEONGBUK,성북동,GU_JONGNO,37.6030,127.0174,역사와 문화가 살아있는 동네,3,COMPLETE_DONG_PYEONGCHANG
DONG_BUAM,부암동,GU_JONGNO,37.5958,126.9638,북악산 자락의 조용한 마을,3,COMPLETE_DONG_SEONGBUK
DONG_YEOKSAM,역삼동,GU_GANGNAM,37.5007,127.0375,강남의 비즈니스 중심지,5,COMPLETE_GU_JONGNO
DONG_NONHYEON,논현동,GU_GANGNAM,37.5103,127.0225,세련된 레스토랑과 카페의 거리,4,COMPLETE_DONG_YEOKSAM
DONG_APGUJEONG,압구정동,GU_GANGNAM,37.5275,127.0285,강남 럭셔리의 상징,4,COMPLETE_DONG_NONHYEON
DONG_CHEONGDAM,청담동,GU_GANGNAM,37.5240,127.0476,명품과 패션의 메카,4,COMPLETE_DONG_APGUJEONG
DONG_DAECHI,대치동,GU_GANGNAM,37.4945,127.0615,학원가와 교육의 중심지,3,COMPLETE_DONG_CHEONGDAM
DONG_DOGOK,도곡동,GU_GANGNAM,37.4862,127.0413,타워팰리스가 있는 고급 주거지,4,COMPLETE_DONG_DAECHI
DONG_JAMSIL,잠실동,GU_SONGPA,37.5145,127.1004,롯데월드와 잠실야구장,5,COMPLETE_GU_GANGNAM
DONG_SINCHEON,신천동,GU_SONGPA,37.5128,127.0934,잠실새내역 주변 상권,3,COMPLETE_DONG_JAMSIL
DONG_MUNJEONG,문정동,GU_SONGPA,37.4861,127.1220,법조타운과 가든파이브,3,COMPLETE_DONG_SINCHEON
DONG_GARAK,가락동,GU_SONGPA,37.4940,127.1205,가락시장이 있는 동네,3,COMPLETE_DONG_MUNJEONG
DONG_INGYE,인계동,GU_SUWON,37.2636,127.0286,수원역 주변 상업 중심지,4,COMPLETE_CITY_SEOUL
DONG_PALDAL,팔달구,GU_SUWON,37.2797,127.0093,수원 화성이 있는 역사 지구,5,COMPLETE_DONG_INGYE
DONG_YEONGTONG,영통구,GU_SUWON,37.2573,127.0771,삼성전자와 첨단 산업 지구,4,COMPLETE_DONG_PALDAL
DONG_GWONSEON,권선구,GU_SUWON,37.2612,126.9729,수원의 서쪽 주거 지역,3,COMPLETE_DONG_YEONGTONG
DONG_JANGAN,장안구,GU_SUWON,37.3010,127.0095,수원의 북쪽 관문,3,COMPLETE_DONG_GWONSEON
